iso3,country_name,name
FJI,Fiji,fiji
TZA,Tanzania,united republic of tanzania
SAH,W. Sahara,western sahara
CAN,Canada,canada
USA,United States of America,united states of america
KAZ,Kazakhstan,kazakhstan
UZB,Uzbekistan,uzbekistan
PNG,Papua New Guinea,papua new guinea
IDN,Indonesia,indonesia
ARG,Argentina,argentina
CHL,Chile,chile
COD,Dem. Rep. Congo,democratic republic of the congo
SOM,Somalia,somalia
KEN,Kenya,kenya
SDN,Sudan,sudan
TCD,Chad,chad
HTI,Haiti,haiti
DOM,Dominican Rep.,dominican republic
RUS,Russia,russia
BHS,Bahamas,the bahamas
NOR,Norway,norway
TLS,Timor-Leste,east timor
ZAF,South Africa,south africa
LSO,Lesotho,lesotho
MEX,Mexico,mexico
URY,Uruguay,uruguay
BRA,Brazil,brazil
BOL,Bolivia,bolivia
PER,Peru,peru
COL,Colombia,colombia
PAN,Panama,panama
CRI,Costa Rica,costa rica
NIC,Nicaragua,nicaragua
HND,Honduras,honduras
SLV,El Salvador,el salvador
GTM,Guatemala,guatemala
BLZ,Belize,belize
VEN,Venezuela,venezuela
GUY,Guyana,guyana
SUR,Suriname,suriname
FRA,France,france
ECU,Ecuador,ecuador
JAM,Jamaica,jamaica
CUB,Cuba,cuba
ZWE,Zimbabwe,zimbabwe
BWA,Botswana,botswana
NAM,Namibia,namibia
SEN,Senegal,senegal
MLI,Mali,mali
MRT,Mauritania,mauritania
BEN,Benin,benin
NER,Niger,niger
NGA,Nigeria,nigeria
CMR,Cameroon,cameroon
TGO,Togo,togo
GHA,Ghana,ghana
CIV,Côte d'Ivoire,ivory coast
GIN,Guinea,guinea
GNB,Guinea-Bissau,guinea-bissau
LBR,Liberia,liberia
SLE,Sierra Leone,sierra leone
BFA,Burkina Faso,burkina faso
CAF,Central African Rep.,central african republic
COG,Congo,republic of the congo
GAB,Gabon,gabon
GNQ,Eq. Guinea,equatorial guinea
ZMB,Zambia,zambia
MWI,Malawi,malawi
MOZ,Mozambique,mozambique
SWZ,eSwatini,eswatini
AGO,Angola,angola
BDI,Burundi,burundi
ISR,Israel,israel
LBN,Lebanon,lebanon
MDG,Madagascar,madagascar
GMB,Gambia,gambia
TUN,Tunisia,tunisia
DZA,Algeria,algeria
JOR,Jordan,jordan
ARE,United Arab Emirates,united arab emirates
QAT,Qatar,qatar
KWT,Kuwait,kuwait
IRQ,Iraq,iraq
OMN,Oman,oman
VUT,Vanuatu,vanuatu
KHM,Cambodia,cambodia
THA,Thailand,thailand
LAO,Laos,laos
MMR,Myanmar,myanmar
VNM,Vietnam,vietnam
PRK,North Korea,north korea
KOR,South Korea,south korea
MNG,Mongolia,mongolia
IND,India,india
BGD,Bangladesh,bangladesh
BTN,Bhutan,bhutan
NPL,Nepal,nepal
PAK,Pakistan,pakistan
AFG,Afghanistan,afghanistan
TJK,Tajikistan,tajikistan
KGZ,Kyrgyzstan,kyrgyzstan
TKM,Turkmenistan,turkmenistan
IRN,Iran,iran
SYR,Syria,syria
ARM,Armenia,armenia
SWE,Sweden,sweden
BLR,Belarus,belarus
UKR,Ukraine,ukraine
POL,Poland,poland
AUT,Austria,austria
HUN,Hungary,hungary
MDA,Moldova,moldova
ROU,Romania,romania
LTU,Lithuania,lithuania
LVA,Latvia,latvia
EST,Estonia,estonia
DEU,Germany,germany
